source,id,title,company,city,remote,salary_min,salary_max,salary_avg,currency,skills,level,category,collected_at,region,month,salary_avg_rub_norm
Habr,habr_1000166282,ML-инженер,ГНИВЦ,Москва,False,,,,RUB,"Git, PostgreSQL, Python",Not specified,Other IT,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000133692,"Fullstack-разработчик (.Net core, React)",УК «Аэропорты Регионов»,Екатеринбург,True,,,,RUB,".NET Core, React, .NET",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000164646,С++ Developer,Eltex,Новосибирск,False,,,,RUB,"C++, Linux",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000164325,Старший ML-разработчик агентов для Алисы,Яндекс,Москва,False,,,,RUB,"Deep Learning, NLP, LLM, PyTorch, Python",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000164629,Техлид в команду высокоточных цифровых дорожных карт,Navio,Москва,False,,,,RUB,"Python, Алгоритмы и структуры данных, Большие данные, Машинное обучение, Deep Learning",Not specified,Other IT,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166397,NLP-разработчик в Браузер,Яндекс,Москва,False,,,,RUB,"Python, Docker, PyTorch, Deep Learning, NLP",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000128046,Java-разработчик в Маркет,Яндекс,Нижний Новгород,False,180000.0,350000.0,265000.0,RUB,"Java, Java Spring Framework",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,265000.0
Habr,habr_1000165249,Java разработчик с нуля (стажер),Aston,Москва,True,52000.0,,52000.0,RUB,"Java, Hibernate, MySQL, PostgreSQL, Git",Junior,Software Development,2026-05-11 17:54:54,Russia,2026-05,52000.0
Habr,habr_1000166297,Lead Search Engineer,Nibelung,Не указан,True,,,,RUB,"Python, Git, Docker, Linux, RabbitMQ",Senior,Other IT,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166213,AI Automation/AI Systems Integrator (AI Automation Engineer/LLM Systems Engineer,"Автосалон ""First class""",Москва,False,,,,RUB,"LLM, OpenAPI Specification, GPT, RESTful API, Docker",Not specified,Other IT,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000164074,Инженер по обеспечению качества,Сонерик,Москва,True,,,,RUB,"Тестирование ПО, Python, ООП, Pytest, Git",Not specified,Other IT,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166129,Senior Backend Developer,Outreach Today,Не указан,True,,,,RUB,"JavaScript, TypeScript, Node.js, Golang, Python",Senior,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166220,Разработчик Bitrix 24,МосТабак,Москва,False,,,,RUB,"SQL, PHP, PostgreSQL, HTML, Vue.js",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166117,NLP-разработчик в Алису,Яндекс,Москва,False,,,,RUB,NLP,Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166254,Инженер по автоматизированному тестированию / AQA (Java / Kotlin),М Тех,Москва,True,,,,RUB,"Java, Kotlin",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166296,MLOps-инженер,М Тех,Москва,True,,,,RUB,"Kubernetes, Apache Airflow, Linux, Python",Not specified,Other IT,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166331,Senior AI Platform Engineer / LLMOps Engineer / Tech Lead,ПСМ Unlim,Ярославль,True,300000.0,,300000.0,RUB,"Scada, АСУ ТП, Docker, Python, Redis",Senior,Other IT,2026-05-11 17:54:54,Russia,2026-05,300000.0
Habr,habr_1000164602,LEAD AI/ML ENGINEER,Selecty,Москва,False,400000.0,,400000.0,RUB,"Python, GPT, LLM, Компьютерное зрение, FastAPI",Senior,Data Science,2026-05-11 17:54:54,Russia,2026-05,400000.0
Habr,habr_1000166257,Тестировщик-автоматизатор (AQA),Fusion Tech,Не указан,True,,,,RUB,"Тестирование API, Java, Junit, SQL, ООП",Not specified,QA,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000156172,Разработчик в буткемп Core Infrastructure,Яндекс,Новосибирск,True,300000.0,490000.0,395000.0,RUB,"Python, C++, Golang, Алгоритмы и структуры данных",Not specified,Software Development,2026-05-11 17:54:54,Russia,2026-05,395000.0
Habr,habr_1000149891,QA Engineer (Unified Communications (UC)),Eltex,Новосибирск,False,,,,RUB,"Linux, Python, Docker, VoIP, SIP",Not specified,QA,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000163088,Automation QA (Storage S3),Cloud.ru,Не указан,True,,,,RUB,"Python, Linux, Pytest",Not specified,QA,2026-05-11 17:54:54,Russia,2026-05,
Habr,habr_1000166356,ML Engineer,Нетбелл,Не указан,True,,,,RUB,"Python, LLM, Docker, Kubernetes",Not specified,Data Science,2026-05-11 17:54:55,Russia,2026-05,
Habr,habr_1000162093,Middle/Senior Golang Developer,Cloud.ru,Не указан,True,,,,RUB,"Golang, Kubernetes, Python, Linux",Senior,Software Development,2026-05-11 17:54:55,Russia,2026-05,
Habr,habr_1000165804,BI-аналитик,Coral Club,Не указан,True,,,,RUB,"PostgreSQL, Apache Superset, Python, React, DWH",Not specified,Other IT,2026-05-11 17:54:55,Russia,2026-05,
Habr,habr_1000164434,Разработчик бэкенда в Яндекс Образование,Яндекс,Минск,False,,,,RUB,"Python, Golang, MongoDB, PostgreSQL",Not specified,Software Development,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000157044,Специалист по анализу защищенности (pentest),Золотое Яблоко,Екатеринбург,False,,,,RUB,"SQL, Python, PostgreSQL, Django, OWASP",Not specified,QA,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000164844,Инженер по глубокому обучению в команду нейросетевого планировщика траектории,Navio,Москва,False,,,,RUB,"Python, C++, Алгоритмы и структуры данных, Оптимизация кода, Машинное обучение",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000166320,Инженер-интегратор робототехнических систем,IT-hunter,Москва,False,,,,RUB,"STM32, Python, C++, Linux",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165284,ML Разработчик [Java],deeplay,Москва,False,,,,RUB,"Java, Git",Not specified,Software Development,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000166145,Бизнес-партнер по ИБ,Spice IT,Не указан,True,,,,RUB,"SAST/DAST, Информационная безопасность",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000166273,MLSecOps,ГНИВЦ,Москва,False,,,,RUB,"Linux, Docker, Kubernetes, Python, CI/CD",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165218,Аналитик SOC | Специалист 2 линии SOC,Анонимный работодатель,Новосибирск,True,,,,RUB,"Информационная безопасность, SIEM",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000164921,PHP-разработчик,Остров Сокровищ,Не указан,True,15000.0,250000.0,132500.0,RUB,"Linux, PHP, Laravel, Symfony, MySQL",Not specified,Software Development,2026-05-11 17:54:58,Russia,2026-05,132500.0
Habr,habr_1000166222,C# Developer (WinForms + SQL),Ляпунов и Резниченко,Санкт-Петербург,False,350000.0,,350000.0,RUB,"C#, Windows Forms, .NET, SQL, RESTful API",Not specified,Software Development,2026-05-11 17:54:58,Russia,2026-05,350000.0
Habr,habr_1000164839,Product Analyst,Wildberries & Russ,Санкт-Петербург,True,,,,RUB,"SQL, Python, A/B тестирование",Not specified,Data Analytics,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165261,Java Developer,ИТ-компания «Лоция»,Москва,True,,,,RUB,"Java, Gradle, Apache Kafka, Java Spring Framework, Spring Boot",Not specified,Software Development,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165742,Разработчик Ruby On Rail-Senior (Fullstack),AUROSPACE Holding,Санкт-Петербург,True,,,,RUB,"Ruby, RESTful API, React, Ruby on Rails, PostgreSQL",Senior,Software Development,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165669,Data Scientist,Фарпост,Владивосток,True,,,,RUB,"Deep Learning, SQL, Python",Not specified,Data Science,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165038,Аналитик данных,Анонимный работодатель,Санкт-Петербург,False,,,,RUB,Python,Not specified,Data Analytics,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000164666,Data Engineer,Т-Банк,Новосибирск,True,,,,RUB,"Greenplum, SQL, Python, Apache Airflow, ETL",Not specified,Data Engineering,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000165525,Java Team Lead / Lead Developer,Okko,Санкт-Петербург,True,,,,RUB,"Java, PostgreSQL",Senior,Software Development,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000166322,Team Lead разработки (Java),AЭРО,Не указан,True,,,,RUB,"Java, Apache Kafka, Высоконагруженные системы, PostgreSQL, Spring Boot",Senior,Software Development,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000166120,Aдминистратор баз данных PostgreSQL,Ренессанс Жизнь,Москва,True,,,,RUB,"Python, PostgreSQL, SQL, Bash, Linux",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000164876,Консультант по направлению анализа защищённости (Vulnerability Management),Банк России,Москва,False,,,,RUB,"Linux, Python",Not specified,Other IT,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000161662,QA Manual,Wildberries & Russ,Москва,True,,,,RUB,"Postman, YouTrack, Charles, Тестирование API, Ручное тестирование",Not specified,QA,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000166151,Vue 3 Frontend Developer,Carbogatto,Не указан,True,100000.0,250000.0,175000.0,RUB,"Vue.js, TypeScript, Vite, Маршрутизация, RESTful API",Not specified,Software Development,2026-05-11 17:54:58,Russia,2026-05,175000.0
Habr,habr_1000164812,Старший DevOps-инженер (Openstack),МТ-Интеграция,Москва,True,,,,RUB,"Openstack, GitLab, Linux, Ansible, Python",Not specified,DevOps,2026-05-11 17:54:58,Russia,2026-05,
Habr,habr_1000164103,Руководитель группы разработки в Data center infrastructure management,Яндекс,Санкт-Петербург,False,,,,RUB,"Python, Golang, Управление людьми",Not specified,DevOps,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000165716,Аналитик данных (финансовое направление),TravelLine,Казань,True,,,,RUB,"SQL, Python, Математическая статистика, PowerBI, Microsoft Excel",Not specified,Data Analytics,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166339,Angular-разработчик,Граффинтех,Не указан,True,,,,RUB,"Angular, TypeScript, REST, JSON, OpenAPI Specification",Not specified,Software Development,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000159384,Разработчик 1С / Специалист по интеграции (Мегаплан + 1С),Мегаплан,Москва,True,100000.0,,100000.0,RUB,"Администрирование 1С, RESTful API, HTTP, Разработка под 1С, XML",Not specified,Software Development,2026-05-11 17:55:00,Russia,2026-05,100000.0
Habr,habr_1000164814,Инженер по тестированию / QA engineer (Виртуализация),МТ-Интеграция,Москва,True,,,,RUB,"Openstack, Linux, Python",Not specified,QA,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000164486,Главный специалист управления уязвимостями (SOC VM),ИТ-компания «Лоция»,Москва,False,,,,RUB,"SIEM, Анализ угроз, Защита информации",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000135389,Аналитик данных,МегаФон,Не указан,True,,,,RUB,"Python, SQL, Продуктовая аналитика, A/B тестирование",Not specified,Data Analytics,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000164179,Data Engineer,Coral Club,Москва,True,,,,RUB,"PostgreSQL, SQL, Python, Базы данных",Not specified,Data Engineering,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166244,Team Lead автоматизации тестирования (SDET),ИнфоТеКС,Санкт-Петербург,False,,,,RUB,"Python, Pytest, Docker, Git, TeamCity",Senior,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000164806,Руководитель команды разработки / TechLead,МТ-Интеграция,Москва,False,,,,RUB,"Python, Golang",Senior,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166148,Data Analyst / Data Scientist (Fintech / Payments),AUROSPACE Holding,Москва,True,,,,RUB,"SQL, Python, PostgreSQL, BI, Анализ данных",Not specified,Data Science,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000165037,Старший аналитик,Анонимный работодатель,Санкт-Петербург,False,,,,RUB,"Python, Алгоритмы и структуры данных, Базы данных",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166362,Продуктовый аналитик  (геймдев),HappyGames Studio,Не указан,True,150000.0,,150000.0,RUB,"SQL, Python, BI, Математическая статистика, Tableau",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,150000.0
Habr,habr_1000147159,AppSeс - инженер,Банк России,Казань,False,,,,RUB,"Python, DevSecOps, SAST/DAST, Java, Баг-трекинг",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166352,MLops инженер,IBS,Москва,False,,,,RUB,"Python, ETL, Greenplum, Apache Hadoop, Apache Airflow",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166002,Продуктовый аналитик в Путешествия,Яндекс,Санкт-Петербург,False,,,,RUB,"SQL, Python",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000161037,Ведущий инженер L3,Cloud.ru,Москва,False,,,,RUB,"Osi model, TCP, Bash, Python, Linux",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166246,DevOps-инженер,OPENCITY,Не указан,True,50000.0,,50000.0,RUB,"Git, Docker, Linux, Kubernetes, CI/CD",Not specified,DevOps,2026-05-11 17:55:00,Russia,2026-05,50000.0
Habr,habr_1000166242,Lead Rust,М Тех,Москва,True,,,,RUB,"Python, PostgreSQL, Apache Kafka, CI/CD, Redis",Senior,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166150,Lead Data Analyst / Analytics Lead,ЭПЕКО,Москва,False,,,,RUB,"SQL, Python, Базы данных, PHP, Docker",Senior,Data Analytics,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000165871,Специалист по защите информации (тестирование),ГАЗИНФОРМСЕРВИС,Санкт-Петербург,False,,,,RUB,"C#, C++, C, Python, Java",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166177,Руководитель отдела аналитики,LADA Цифра,Москва,False,,,,RUB,"SQL, Python, Apache Superset, BI, PowerBI",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000165408,Сетевой инженер (ethernet-коммутаторы),ЛАНИТ,Не указан,True,,,,RUB,"Администрирование сетей, Администрирование оборудования Cisco, Сетевые технологии, Cisco CCNA, CCNA",Not specified,Other IT,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000166007,SRE Engineer,Банк России,Москва,False,,,,RUB,"Linux, Zabbix, Prometheus, Python, Bash",Not specified,DevOps,2026-05-11 17:55:00,Russia,2026-05,
Habr,habr_1000164113,Системный разработчик С++ в команду основных компонентов,Navio,Москва,False,,,,RUB,"Python, C++, Linux",Not specified,Software Development,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000153953,Data Engineer mid (DWH),СберЗдоровье,Москва,True,,,,RUB,"SQL, Python, DWH, ClickHouse, Apache Airflow",Middle,Data Engineering,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000165216,Менеджер продукта,Анонимный работодатель,Москва,True,,,,RUB,"SQL, Python, Agile",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000165592,"Продуктовый аналитик (только офис, Владивосток)",Фарпост,Владивосток,False,,,,RUB,"MySQL, Python, A/B тестирование, ClickHouse, Metabase",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000165353,Аналитик сетевой безопасности,Совкомбанк Технологии,Саратов,False,,,,RUB,"OSPF, Настройка VPN, SQL, Python, BGP",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000165619,Сетевой инженер,Автоматизация розничных технологий,Ульяновск,False,175000.0,200000.0,187500.0,RUB,"Zabbix, Docker, VMware, Python, Mikrotik",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,187500.0
Habr,habr_1000165809,Инженер данных,SimbirSoft,Не указан,True,,,,RUB,"PostgreSQL, ClickHouse, Python, Apache Airflow, Apache NiFi",Not specified,Data Engineering,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000164875,Эксперт направления оценки соответствия требованиям ИБ (compliance),Банк России,Москва,False,,,,RUB,"Linux, SDL/SDLC, Python, Splunk",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000166180,Go Developer,ITK academy,Казань,True,75000.0,125000.0,100000.0,RUB,"SQL, MySQL, PostgreSQL, Golang, RESTful API",Not specified,Software Development,2026-05-11 17:55:03,Russia,2026-05,100000.0
Habr,habr_1000164295,Руководитель группы разработки Sandbox в DevTools,Яндекс,Санкт-Петербург,False,,,,RUB,"Python, Управление людьми, Управление проектами",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000163189,Инженер техподдержки L2,Cloud.ru,Москва,True,,,,RUB,SQL,Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000166335,Специалист по сертификационным испытаниям (ФСТЭК),ИнфоТеКС,Пенза,False,,,,RUB,"C, C++, Python, Java, C#",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000161260,Java (Т-банк),ИТ-Холдинг Т1,Екатеринбург,True,,,,RUB,Java,Not specified,Software Development,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000166209,Appsec,IT_One,Не указан,True,,,,RUB,"OWASP, SAST/DAST, Docker, CI/CD, gRPC",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000164856,Старший LLM-разработчик в сервис Нейроюрист,Яндекс,Москва,True,,,,RUB,"Python, NLP, LLM, Langgraph",Not specified,Software Development,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000164330,Архитектор,Fix Price,Москва,True,,,,RUB,"PHP, ООП, Базы данных, Высоконагруженные системы",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000160479,Reverse-инженер,deeplay,Казань,True,,,,RUB,"Обратная разработка, C#, Python, Frida",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000166314,Dev Team Lead/ Tech Lead/ Технический директор,UANT Limited,Не указан,True,500000.0,1000000.0,750000.0,RUB,"Python, TypeScript, Node.js, Next.js, React",Senior,Other IT,2026-05-11 17:55:03,Russia,2026-05,750000.0
Habr,habr_1000163830,Руководитель группы разработки Автосборки в DevTools,Яндекс,Санкт-Петербург,False,,,,RUB,"Python, C++, Управление людьми, CI/CD",Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000165990,Программист C++ (Qt),Uniscan Research,Новосибирск,False,140000.0,200000.0,170000.0,RUB,"Linux, Qt, C++",Not specified,Software Development,2026-05-11 17:55:03,Russia,2026-05,170000.0
Habr,habr_1000163829,Разработчик на Java в команду B2B-платформы Яндекс 360,Яндекс,Санкт-Петербург,True,,,,RUB,"Java, PostgreSQL",Not specified,Software Development,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000166278,Старший инженер AppSec,WMX,Москва,False,,,,RUB,Linux,Not specified,Other IT,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000163215,DevSecOps инженер (DevOps),ИТ-компания «Лоция»,Москва,True,,,,RUB,Linux,Not specified,DevOps,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000166269,Senior Rendering engineer C++ в 3D Карту,2GIS,Не указан,True,,,,RUB,"OpenGL, DirectX, C++",Senior,Software Development,2026-05-11 17:55:03,Russia,2026-05,
Habr,habr_1000161071,ИТ Лид команды разработки (java),ИТ-Холдинг Т1,Нижний Новгород,True,,,,RUB,"Java, Управление людьми, Управление разработкой, Планирование, Построение команды",Not specified,Software Development,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000165362,MLOps Engineer,Aston,Не указан,True,,,,RUB,LLM,Not specified,Other IT,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000166326,"Fullstack-разработчик (Go, Java, React)",МегаФон,Москва,True,,,,RUB,"React, Golang, Java",Not specified,Software Development,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000159161,Тимлид сетевого отдела,Группа Астра,Москва,True,,,,RUB,"Защита от DDOS, Разработка систем защиты информации",Not specified,Other IT,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000166379,QA Automation / SDET [TypeScript],"Спортс""",Не указан,True,,,,RUB,"TypeScript, Playwright, CI/CD, Docker, SQL",Not specified,QA,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000166261,Программист C++ (NGFW),ИнфоТеКС,Уфа,False,,,,RUB,"Linux, NGFW, C++",Not specified,Software Development,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000165292,Системный инженер (SIEM),ЛАНИТ,Не указан,True,,,,RUB,"Linux, Администрирование Windows, SIEM, Безопасность сетей, Active directory",Not specified,Other IT,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000165330,DevSecOps специалист,Совкомбанк Технологии,Новосибирск,False,,,,RUB,"CI/CD, DevSecOps, Информационная безопасность",Not specified,Other IT,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000165964,Инженер внедрения систем мониторинга ИБ,ГАЗИНФОРМСЕРВИС,Санкт-Петербург,False,,,,RUB,"NGFW, Linux, SIEM, SQL, Active directory",Not specified,Other IT,2026-05-11 17:55:06,Russia,2026-05,
Habr,habr_1000166172,Senior CV разработчик,2GIS,Москва,True,,,,RUB,"Компьютерное зрение, Deep Learning, PyTorch, Computer Science",Senior,Software Development,2026-05-11 17:55:06,Russia,2026-05,
