source,id,title,company,city,remote,salary,skills,collected_at,search_keyword
Habr,habr_1000166297,Lead Search Engineer,Nibelung,Не указан,True,,"Python, Git, Docker, Linux, RabbitMQ",2026-05-11 17:54:54,python
Habr,habr_1000166213,AI Automation/AI Systems Integrator (AI Automation Engineer/LLM Systems Engineer,"Автосалон ""First class""",Москва,False,,"LLM, OpenAPI Specification, GPT, RESTful API, Docker",2026-05-11 17:54:54,python
Habr,habr_1000164074,Инженер по обеспечению качества,Сонерик,Москва,True,,"Тестирование ПО, Python, ООП, Pytest, Git",2026-05-11 17:54:54,python
Habr,habr_1000166129,Senior Backend Developer,Outreach Today,Не указан,True,от 7000 до 10 000 $,"JavaScript, TypeScript, Node.js, Golang, Python",2026-05-11 17:54:54,python
Habr,habr_1000166220,Разработчик Bitrix 24,МосТабак,Москва,False,Зарплата не указанаПохожие специалисты получают 200 000 - 306 000 ₽,"SQL, PHP, PostgreSQL, HTML, Vue.js",2026-05-11 17:54:54,python
Habr,habr_1000166117,NLP-разработчик в Алису,Яндекс,Москва,False,,NLP,2026-05-11 17:54:54,python
Habr,habr_1000166254,Инженер по автоматизированному тестированию / AQA (Java / Kotlin),М Тех,Москва,True,,"Java, Kotlin",2026-05-11 17:54:54,python
Habr,habr_1000166296,MLOps-инженер,М Тех,Москва,True,Зарплата не указанаПохожие специалисты получают 236 000 - 277 000 ₽,"Kubernetes, Apache Airflow, Linux, Python",2026-05-11 17:54:54,python
Habr,habr_1000166331,Senior AI Platform Engineer / LLMOps Engineer / Tech Lead,ПСМ Unlim,Ярославль,True,от 300 000 ₽,"Scada, АСУ ТП, Docker, Python, Redis",2026-05-11 17:54:54,python
Habr,habr_1000164602,LEAD AI/ML ENGINEER,Selecty,Москва,False,от 400 000 ₽,"Python, GPT, LLM, Компьютерное зрение, FastAPI",2026-05-11 17:54:54,python
Habr,habr_1000166257,Тестировщик-автоматизатор (AQA),Fusion Tech,Не указан,True,Зарплата не указанаПохожие специалисты получают 130 000 - 215 000 ₽,"Тестирование API, Java, Junit, SQL, ООП",2026-05-11 17:54:54,python
Habr,habr_1000156172,Разработчик в буткемп Core Infrastructure,Яндекс,Новосибирск,True,от 300 000 до 490 000 ₽,"Python, C++, Golang, Алгоритмы и структуры данных",2026-05-11 17:54:54,python
Habr,habr_1000149891,QA Engineer (Unified Communications (UC)),Eltex,Новосибирск,False,Зарплата не указанаПохожие специалисты получают 134 000 - 300 000 ₽,"Linux, Python, Docker, VoIP, SIP",2026-05-11 17:54:54,python
Habr,habr_1000163088,Automation QA (Storage S3),Cloud.ru,Не указан,True,Зарплата не указанаПохожие специалисты получают 305 000 - 389 000 ₽,"Python, Linux, Pytest",2026-05-11 17:54:54,python
Habr,habr_1000166356,ML Engineer,Нетбелл,Не указан,True,,"Python, LLM, Docker, Kubernetes",2026-05-11 17:54:55,python
Habr,habr_1000162093,Middle/Senior Golang Developer,Cloud.ru,Не указан,True,Зарплата не указанаПохожие специалисты получают 330 000 - 434 000 ₽,"Golang, Kubernetes, Python, Linux",2026-05-11 17:54:55,python
Habr,habr_1000165804,BI-аналитик,Coral Club,Не указан,True,Зарплата не указанаПохожие специалисты получают 150 000 - 222 000 ₽,"PostgreSQL, Apache Superset, Python, React, DWH",2026-05-11 17:54:55,python
Habr,habr_1000164434,Разработчик бэкенда в Яндекс Образование,Яндекс,Минск,False,Зарплата не указанаПохожие специалисты получают 162 000 - 325 000 ₽,"Python, Golang, MongoDB, PostgreSQL",2026-05-11 17:54:58,python
Habr,habr_1000157044,Специалист по анализу защищенности (pentest),Золотое Яблоко,Екатеринбург,False,Зарплата не указанаПохожие специалисты получают 121 000 - 221 000 ₽,"SQL, Python, PostgreSQL, Django, OWASP",2026-05-11 17:54:58,python
Habr,habr_1000164844,Инженер по глубокому обучению в команду нейросетевого планировщика траектории,Navio,Москва,False,,"Python, C++, Алгоритмы и структуры данных, Оптимизация кода, Машинное обучение",2026-05-11 17:54:58,python
Habr,habr_1000166320,Инженер-интегратор робототехнических систем,IT-hunter,Москва,False,Зарплата не указанаПохожие специалисты получают 85 000 - 200 000 ₽,"STM32, Python, C++, Linux",2026-05-11 17:54:58,python
Habr,habr_1000165284,ML Разработчик [Java],deeplay,Москва,False,Зарплата не указанаПохожие специалисты получают 100 000 - 183 000 ₽,"Java, Git",2026-05-11 17:54:58,python
Habr,habr_1000164864,ML Разработчик [Java],deeplay,Новосибирск,True,Зарплата не указанаПохожие специалисты получают 100 000 - 279 000 ₽,Java,2026-05-11 17:54:58,python
Habr,habr_1000166145,Бизнес-партнер по ИБ,Spice IT,Не указан,True,,"SAST/DAST, Информационная безопасность",2026-05-11 17:54:58,python
Habr,habr_1000166273,MLSecOps,ГНИВЦ,Москва,False,Зарплата не указанаПохожие специалисты получают 320 000 - 416 000 ₽,"Linux, Docker, Kubernetes, Python, CI/CD",2026-05-11 17:54:58,python
Habr,habr_1000165218,Аналитик SOC | Специалист 2 линии SOC,Анонимный работодатель,Новосибирск,True,Зарплата не указанаПохожие специалисты получают 164 000 - 353 000 ₽,"Информационная безопасность, SIEM",2026-05-11 17:54:58,python
Habr,habr_1000164921,PHP-разработчик,Остров Сокровищ,Не указан,True,от 15 000 до 250 000 ₽,"Linux, PHP, Laravel, Symfony, MySQL",2026-05-11 17:54:58,python
Habr,habr_1000166222,C# Developer (WinForms + SQL),Ляпунов и Резниченко,Санкт-Петербург,False,от 350 000 ₽,"C#, Windows Forms, .NET, SQL, RESTful API",2026-05-11 17:54:58,python
Habr,habr_1000164839,Product Analyst,Wildberries & Russ,Санкт-Петербург,True,Зарплата не указанаПохожие специалисты получают 308 000 - 396 000 ₽,"SQL, Python, A/B тестирование",2026-05-11 17:54:58,python
Habr,habr_1000165261,Java Developer,ИТ-компания «Лоция»,Москва,True,Зарплата не указанаПохожие специалисты получают 236 000 - 314 000 ₽,"Java, Gradle, Apache Kafka, Java Spring Framework, Spring Boot",2026-05-11 17:54:58,python
Habr,habr_1000165742,Разработчик Ruby On Rail-Senior (Fullstack),AUROSPACE Holding,Санкт-Петербург,True,от 5000 до 15 000 $,"Ruby, RESTful API, React, Ruby on Rails, PostgreSQL",2026-05-11 17:54:58,python
Habr,habr_1000165669,Data Scientist,Фарпост,Владивосток,True,Зарплата не указанаПохожие специалисты получают 193 000 - 282 000 ₽,"Deep Learning, SQL, Python",2026-05-11 17:54:58,python
Habr,habr_1000165038,Аналитик данных,Анонимный работодатель,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 153 000 - 235 000 ₽,Python,2026-05-11 17:54:58,python
Habr,habr_1000164666,Data Engineer,Т-Банк,Новосибирск,True,,"Greenplum, SQL, Python, Apache Airflow, ETL",2026-05-11 17:54:58,python
Habr,habr_1000165525,Java Team Lead / Lead Developer,Okko,Санкт-Петербург,True,,"Java, PostgreSQL",2026-05-11 17:54:58,python
Habr,habr_1000166322,Team Lead разработки (Java),AЭРО,Не указан,True,Зарплата не указанаПохожие специалисты получают 357 000 - 501 000 ₽,"Java, Apache Kafka, Высоконагруженные системы, PostgreSQL, Spring Boot",2026-05-11 17:54:58,python
Habr,habr_1000166120,Aдминистратор баз данных PostgreSQL,Ренессанс Жизнь,Москва,True,Зарплата не указанаПохожие специалисты получают 151 000 - 346 000 ₽,"Python, PostgreSQL, SQL, Bash, Linux",2026-05-11 17:54:58,python
Habr,habr_1000164876,Консультант по направлению анализа защищённости (Vulnerability Management),Банк России,Москва,False,,"Linux, Python",2026-05-11 17:54:58,python
Habr,habr_1000166256,Data Scientist,М Тех,Москва,True,,"SQL, Python",2026-05-11 17:54:58,python
Habr,habr_1000161662,QA Manual,Wildberries & Russ,Москва,True,Зарплата не указанаПохожие специалисты получают 92 000 - 171 000 ₽,"Postman, YouTrack, Charles, Тестирование API, Ручное тестирование",2026-05-11 17:54:58,python
Habr,habr_1000166151,Vue 3 Frontend Developer,Carbogatto,Не указан,True,от 100 000 до 250 000 ₽,"Vue.js, TypeScript, Vite, Маршрутизация, RESTful API",2026-05-11 17:54:58,python
Habr,habr_1000164812,Старший DevOps-инженер (Openstack),МТ-Интеграция,Москва,True,Зарплата не указанаПохожие специалисты получают 149 000 - 347 000 ₽,"Openstack, GitLab, Linux, Ansible, Python",2026-05-11 17:54:58,python
Habr,habr_1000165982,Data Engineer,deeplay,Новосибирск,True,Зарплата не указанаПохожие специалисты получают 160 000 - 303 000 ₽,"SQL, PostgreSQL, Python",2026-05-11 17:55:00,python
Habr,habr_1000164103,Руководитель группы разработки в Data center infrastructure management,Яндекс,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 391 000 - 582 000 ₽,"Python, Golang, Управление людьми",2026-05-11 17:55:00,python
Habr,habr_1000165716,Аналитик данных (финансовое направление),TravelLine,Казань,True,Зарплата не указанаПохожие специалисты получают 155 000 - 209 000 ₽,"SQL, Python, Математическая статистика, PowerBI, Microsoft Excel",2026-05-11 17:55:00,python
Habr,habr_1000166339,Angular-разработчик,Граффинтех,Не указан,True,Зарплата не указанаПохожие специалисты получают 288 000 - 371 000 ₽,"Angular, TypeScript, REST, JSON, OpenAPI Specification",2026-05-11 17:55:00,python
Habr,habr_1000159384,Разработчик 1С / Специалист по интеграции (Мегаплан + 1С),Мегаплан,Москва,True,от 100 000 ₽,"Администрирование 1С, RESTful API, HTTP, Разработка под 1С, XML",2026-05-11 17:55:00,python
Habr,habr_1000164814,Инженер по тестированию / QA engineer (Виртуализация),МТ-Интеграция,Москва,True,Зарплата не указанаПохожие специалисты получают 120 000 - 170 000 ₽,"Openstack, Linux, Python",2026-05-11 17:55:00,python
Habr,habr_1000164486,Главный специалист управления уязвимостями (SOC VM),ИТ-компания «Лоция»,Москва,False,Зарплата не указанаПохожие специалисты получают 158 000 - 189 000 ₽,"SIEM, Анализ угроз, Защита информации",2026-05-11 17:55:00,python
Habr,habr_1000135389,Аналитик данных,МегаФон,Не указан,True,Зарплата не указанаПохожие специалисты получают 251 000 - 356 000 ₽,"Python, SQL, Продуктовая аналитика, A/B тестирование",2026-05-11 17:55:00,python
Habr,habr_1000164179,Data Engineer,Coral Club,Москва,True,Зарплата не указанаПохожие специалисты получают 196 000 - 272 000 ₽,"PostgreSQL, SQL, Python, Базы данных",2026-05-11 17:55:00,python
Habr,habr_1000166244,Team Lead автоматизации тестирования (SDET),ИнфоТеКС,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 144 000 - 203 000 ₽,"Python, Pytest, Docker, Git, TeamCity",2026-05-11 17:55:00,python
Habr,habr_1000164806,Руководитель команды разработки / TechLead,МТ-Интеграция,Москва,False,Зарплата не указанаПохожие специалисты получают 410 000 - 577 000 ₽,"Python, Golang",2026-05-11 17:55:00,python
Habr,habr_1000166148,Data Analyst / Data Scientist (Fintech / Payments),AUROSPACE Holding,Москва,True,от 4000 до 10 000 $,"SQL, Python, PostgreSQL, BI, Анализ данных",2026-05-11 17:55:00,python
Habr,habr_1000165037,Старший аналитик,Анонимный работодатель,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 195 000 - 308 000 ₽,"Python, Алгоритмы и структуры данных, Базы данных",2026-05-11 17:55:00,python
Habr,habr_1000166362,Продуктовый аналитик  (геймдев),HappyGames Studio,Не указан,True,от 150 000 ₽,"SQL, Python, BI, Математическая статистика, Tableau",2026-05-11 17:55:00,python
Habr,habr_1000147159,AppSeс - инженер,Банк России,Казань,False,Зарплата не указанаПохожие специалисты получают 236 000 - 321 000 ₽,"Python, DevSecOps, SAST/DAST, Java, Баг-трекинг",2026-05-11 17:55:00,python
Habr,habr_1000166352,MLops инженер,IBS,Москва,False,Зарплата не указанаПохожие специалисты получают 165 000 - 242 000 ₽,"Python, ETL, Greenplum, Apache Hadoop, Apache Airflow",2026-05-11 17:55:00,python
Habr,habr_1000166002,Продуктовый аналитик в Путешествия,Яндекс,Санкт-Петербург,False,,"SQL, Python",2026-05-11 17:55:00,python
Habr,habr_1000161037,Ведущий инженер L3,Cloud.ru,Москва,False,Зарплата не указанаПохожие специалисты получают 70 000 - 145 000 ₽,"Osi model, TCP, Bash, Python, Linux",2026-05-11 17:55:00,python
Habr,habr_1000166246,DevOps-инженер,OPENCITY,Не указан,True,от 50 000 ₽,"Git, Docker, Linux, Kubernetes, CI/CD",2026-05-11 17:55:00,python
Habr,habr_1000166242,Lead Rust,М Тех,Москва,True,,"Python, PostgreSQL, Apache Kafka, CI/CD, Redis",2026-05-11 17:55:00,python
Habr,habr_1000166150,Lead Data Analyst / Analytics Lead,ЭПЕКО,Москва,False,,"SQL, Python, Базы данных, PHP, Docker",2026-05-11 17:55:00,python
Habr,habr_1000165871,Специалист по защите информации (тестирование),ГАЗИНФОРМСЕРВИС,Санкт-Петербург,False,,"C#, C++, C, Python, Java",2026-05-11 17:55:00,python
Habr,habr_1000166177,Руководитель отдела аналитики,LADA Цифра,Москва,False,,"SQL, Python, Apache Superset, BI, PowerBI",2026-05-11 17:55:00,python
Habr,habr_1000165408,Сетевой инженер (ethernet-коммутаторы),ЛАНИТ,Не указан,True,,"Администрирование сетей, Администрирование оборудования Cisco, Сетевые технологии, Cisco CCNA, CCNA",2026-05-11 17:55:00,python
Habr,habr_1000166007,SRE Engineer,Банк России,Москва,False,,"Linux, Zabbix, Prometheus, Python, Bash",2026-05-11 17:55:00,python
Habr,habr_1000164113,Системный разработчик С++ в команду основных компонентов,Navio,Москва,False,Зарплата не указанаПохожие специалисты получают 201 000 - 317 000 ₽,"Python, C++, Linux",2026-05-11 17:55:03,python
Habr,habr_1000153953,Data Engineer mid (DWH),СберЗдоровье,Москва,True,Зарплата не указанаПохожие специалисты получают 215 000 - 287 000 ₽,"SQL, Python, DWH, ClickHouse, Apache Airflow",2026-05-11 17:55:03,python
Habr,habr_1000165216,Менеджер продукта,Анонимный работодатель,Москва,True,Зарплата не указанаПохожие специалисты получают 218 000 - 400 000 ₽,"SQL, Python, Agile",2026-05-11 17:55:03,python
Habr,habr_1000165592,"Продуктовый аналитик (только офис, Владивосток)",Фарпост,Владивосток,False,Зарплата не указанаПохожие специалисты получают 195 000 - 291 000 ₽,"MySQL, Python, A/B тестирование, ClickHouse, Metabase",2026-05-11 17:55:03,python
Habr,habr_1000165353,Аналитик сетевой безопасности,Совкомбанк Технологии,Саратов,False,Зарплата не указанаПохожие специалисты получают 55 000 - 149 000 ₽,"OSPF, Настройка VPN, SQL, Python, BGP",2026-05-11 17:55:03,python
Habr,habr_1000165619,Сетевой инженер,Автоматизация розничных технологий,Ульяновск,False,от 175 000 до 200 000 ₽,"Zabbix, Docker, VMware, Python, Mikrotik",2026-05-11 17:55:03,python
Habr,habr_1000165809,Инженер данных,SimbirSoft,Не указан,True,,"PostgreSQL, ClickHouse, Python, Apache Airflow, Apache NiFi",2026-05-11 17:55:03,python
Habr,habr_1000164875,Эксперт направления оценки соответствия требованиям ИБ (compliance),Банк России,Москва,False,,"Linux, SDL/SDLC, Python, Splunk",2026-05-11 17:55:03,python
Habr,habr_1000166180,Go Developer,ITK academy,Казань,True,от 75 000 до 125 000 ₽,"SQL, MySQL, PostgreSQL, Golang, RESTful API",2026-05-11 17:55:03,python
Habr,habr_1000164295,Руководитель группы разработки Sandbox в DevTools,Яндекс,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 300 000 - 533 000 ₽,"Python, Управление людьми, Управление проектами",2026-05-11 17:55:03,python
Habr,habr_1000163189,Инженер техподдержки L2,Cloud.ru,Москва,True,Зарплата не указанаПохожие специалисты получают 84 000 - 130 000 ₽,SQL,2026-05-11 17:55:03,python
Habr,habr_1000166335,Специалист по сертификационным испытаниям (ФСТЭК),ИнфоТеКС,Пенза,False,Зарплата не указанаПохожие специалисты получают 136 000 - 224 000 ₽,"C, C++, Python, Java, C#",2026-05-11 17:55:03,python
Habr,habr_1000161260,Java (Т-банк),ИТ-Холдинг Т1,Екатеринбург,True,Зарплата не указанаПохожие специалисты получают 190 000 - 359 000 ₽,Java,2026-05-11 17:55:03,python
Habr,habr_1000166209,Appsec,IT_One,Не указан,True,,"OWASP, SAST/DAST, Docker, CI/CD, gRPC",2026-05-11 17:55:03,python
Habr,habr_1000164856,Старший LLM-разработчик в сервис Нейроюрист,Яндекс,Москва,True,,"Python, NLP, LLM, Langgraph",2026-05-11 17:55:03,python
Habr,habr_1000164330,Архитектор,Fix Price,Москва,True,Зарплата не указанаПохожие специалисты получают 381 000 - 641 000 ₽,"PHP, ООП, Базы данных, Высоконагруженные системы",2026-05-11 17:55:03,python
Habr,habr_1000160479,Reverse-инженер,deeplay,Казань,True,Зарплата не указанаПохожие специалисты получают 200 000 - 419 000 ₽,"Обратная разработка, C#, Python, Frida",2026-05-11 17:55:03,python
Habr,habr_1000166314,Dev Team Lead/ Tech Lead/ Технический директор,UANT Limited,Не указан,True,от 500 000 до 1 000 000 ₽,"Python, TypeScript, Node.js, Next.js, React",2026-05-11 17:55:03,python
Habr,habr_1000163830,Руководитель группы разработки Автосборки в DevTools,Яндекс,Санкт-Петербург,False,Зарплата не указанаПохожие специалисты получают 336 000 - 584 000 ₽,"Python, C++, Управление людьми, CI/CD",2026-05-11 17:55:03,python
Habr,habr_1000165990,Программист C++ (Qt),Uniscan Research,Новосибирск,False,от 140 000 до 200 000 ₽,"Linux, Qt, C++",2026-05-11 17:55:03,python
Habr,habr_1000163829,Разработчик на Java в команду B2B-платформы Яндекс 360,Яндекс,Санкт-Петербург,True,Зарплата не указанаПохожие специалисты получают 320 000 - 430 000 ₽,"Java, PostgreSQL",2026-05-11 17:55:03,python
Habr,habr_1000166278,Старший инженер AppSec,WMX,Москва,False,Зарплата не указанаПохожие специалисты получают 240 000 - 345 000 ₽,Linux,2026-05-11 17:55:03,python
Habr,habr_1000163215,DevSecOps инженер (DevOps),ИТ-компания «Лоция»,Москва,True,Зарплата не указанаПохожие специалисты получают 115 000 - 262 000 ₽,Linux,2026-05-11 17:55:03,python
Habr,habr_1000166269,Senior Rendering engineer C++ в 3D Карту,2GIS,Не указан,True,Зарплата не указанаПохожие специалисты получают 370 000 - 531 000 ₽,"OpenGL, DirectX, C++",2026-05-11 17:55:03,python
Habr,habr_1000161071,ИТ Лид команды разработки (java),ИТ-Холдинг Т1,Нижний Новгород,True,Зарплата не указанаПохожие специалисты получают 398 000 - 513 000 ₽,"Java, Управление людьми, Управление разработкой, Планирование, Построение команды",2026-05-11 17:55:06,python
Habr,habr_1000165362,MLOps Engineer,Aston,Не указан,True,Зарплата не указанаПохожие специалисты получают 235 000 - 395 000 ₽,LLM,2026-05-11 17:55:06,python
Habr,habr_1000166326,"Fullstack-разработчик (Go, Java, React)",МегаФон,Москва,True,Зарплата не указанаПохожие специалисты получают 260 000 - 400 000 ₽,"React, Golang, Java",2026-05-11 17:55:06,python
Habr,habr_1000159161,Тимлид сетевого отдела,Группа Астра,Москва,True,Зарплата не указанаПохожие специалисты получают 236 000 - 427 000 ₽,"Защита от DDOS, Разработка систем защиты информации",2026-05-11 17:55:06,python
Habr,habr_1000166379,QA Automation / SDET [TypeScript],"Спортс""",Не указан,True,Зарплата не указанаПохожие специалисты получают 249 000 - 401 000 ₽,"TypeScript, Playwright, CI/CD, Docker, SQL",2026-05-11 17:55:06,python
Habr,habr_1000166261,Программист C++ (NGFW),ИнфоТеКС,Уфа,False,Зарплата не указанаПохожие специалисты получают 150 000 - 229 000 ₽,"Linux, NGFW, C++",2026-05-11 17:55:06,python
Habr,habr_1000165292,Системный инженер (SIEM),ЛАНИТ,Не указан,True,Зарплата не указанаПохожие специалисты получают 222 000 - 368 000 ₽,"Linux, Администрирование Windows, SIEM, Безопасность сетей, Active directory",2026-05-11 17:55:06,python
Habr,habr_1000165330,DevSecOps специалист,Совкомбанк Технологии,Новосибирск,False,Зарплата не указанаПохожие специалисты получают 107 000 - 225 000 ₽,"CI/CD, DevSecOps, Информационная безопасность",2026-05-11 17:55:06,python
Habr,habr_1000165964,Инженер внедрения систем мониторинга ИБ,ГАЗИНФОРМСЕРВИС,Санкт-Петербург,False,,"NGFW, Linux, SIEM, SQL, Active directory",2026-05-11 17:55:06,python
Habr,habr_1000166172,Senior CV разработчик,2GIS,Москва,True,Зарплата не указанаПохожие специалисты получают 330 000 - 434 000 ₽,"Компьютерное зрение, Deep Learning, PyTorch, Computer Science",2026-05-11 17:55:06,python
Habr,habr_1000165802,Разработчик C++,SimbirSoft,Не указан,True,,"C++, Linux",2026-05-11 17:55:06,python
Habr,habr_1000166367,Data Engineer,М Тех,Не указан,True,Зарплата не указанаПохожие специалисты получают 350 000 - 434 000 ₽,"ClickHouse, Greenplum, Apache Airflow, Apache Spark, ETL",2026-05-11 17:55:06,python
Habr,habr_1000163567,SDET Java,SimbirSoft,Не указан,True,Зарплата не указанаПохожие специалисты получают 125 000 - 215 000 ₽,"Java, Spring Boot, Junit, Selenium",2026-05-11 17:55:06,python
Habr,habr_1000129519,Разработчик C# (.NET),Action tech,Не указан,True,,"Microsoft SQL, ООП, Entity framework, RabbitMQ, .NET",2026-05-11 17:55:06,python
